dateOfSenateMeeting,orgName,totalRequested,totalGranted,,,,,,,,,,,,,,,,,,,,,,,
09/05/2018,Interfraternity Council,"$8,500","$8,500",,,,,,,,,,,,,,,,,,,,,,,
09/05/2018,Muslim Students' Association ,"$2,295.00","$2,295.00",,,,,,,,,,,,,,,,,,,,,,,
09/05/2018,Peer Advocacy for Sexual Health (PASH),"$2,500","$2,300",,,,,,,,,,,,,,,,,,,,,,,
09/05/2018,Singapore Students Association,"$11,685","$5,270",,,,,,,,,,,,,,,,,,,,,,,
09/05/2018,Zeta Tau Alpha,"$7,500","$7,500.00",,,,,,,,,,,,,,,,,,,,,,,
09/19/2018,Chinese Student Association,"$10,261","$5,561",,,,,,,,,,,,,,,,,,,,,,,
09/19/2018,Duke Undergraduate Machine Learning,"$4,425","$2,500",,,,,,,,,,,,,,,,,,,,,,,
09/26/2018,J Street U,"$3,050","$2,700",,,,,,,,,,,,,,,,,,,,,,,
10/03/2018,Zeta Phi Beta,"$1,522.61","$1,522.61",,,,,,,,,,,,,,,,,,,,,,,
10/03/2018,TEDxDuke,"$3,985","$3,695",,,,,,,,,,,,,,,,,,,,,,,
10/03/2018,Phi Beta Sigma,"$2,030","$1,730",,,,,,,,,,,,,,,,,,,,,,,
10/03/2018,Duke Students for Justice in Palestine,"$1,650","$1,575",,,,,,,,,,,,,,,,,,,,,,,
10/03/2018,HackDuke,"$8,900","$6,750",,,,,,,,,,,,,,,,,,,,,,,
10/17/2018,Inside Joke,"$2,057.06","$2,057.06",,,,,,,,,,,,,,,,,,,,,,,
10/17/2018,Blue Devils United ,"$7,450","$7,450",,,,,,,,,,,,,,,,,,,,,,,
10/17/2018,Duke Africa ,"$4,326.67","$3,872.33",,,,,,,,,,,,,,,,,,,,,,,
10/17/2018,Muslim Students' Association ,"$4,600","$2,600",,,,,,,,,,,,,,,,,,,,,,,
10/24/2018,Alpha Kappa Delta Phi,"$14,000","$12,000",,,,,,,,,,,,,,,,,,,,,,,
10/24/2018,FEMMES,"$2,500",$800,,,,,,,,,,,,,,,,,,,,,,,
10/31/2018,Duke Club Figure Skating,"$3,765","$3,765",,,,,,,,,,,,,,,,,,,,,,,
10/31/2018,Duke University Science Olympiad,"$6,359","$1,590",,,,,,,,,,,,,,,,,,,,,,,
10/31/2018,Hindu Students Association ,"$3,800","$3,800",,,,,,,,,,,,,,,,,,,,,,,
10/31/2018,International Assocation ,"$7,160","$5,184",,,,,,,,,,,,,,,,,,,,,,,
11/07/2018,Duke Chinese Theater,"$10,798","$6,173",,,,,,,,,,,,,,,,,,,,,,,
11/14/2018,Alpha Kappa Delta Phi,"$14,000","$2,000",,,,,,,,,,,,,,,,,,,,,,,
11/14/2018,Asian Students Association,"$3,400","$2,800",,,,,,,,,,,,,,,,,,,,,,,
11/14/2018,Duke Catholic Center ,"$1,760","$1,710",,,,,,,,,,,,,,,,,,,,,,,
11/14/2018,Duke Conservation Tech,"$12,437.50","$8,287.50",,,,,,,,,,,,,,,,,,,,,,,
11/28/2018,Blue Devils United ,"$7,689.90","$7,689.00",,,,,,,,,,,,,,,,,,,,,,,
11/28/2018,Coalition for Preserving Memory,"$1,850.00","$1,850.00",,,,,,,,,,,,,,,,,,,,,,,
01/16/2019,Asian Students Association,"$6,800","$5,175.00",,,,,,,,,,,,,,,,,,,,,,,
01/16/2019,Delta Sigma Theta,"$16,089.20","$16,089.20",,,,,,,,,,,,,,,,,,,,,,,
01/16/2019,duARTS,"$4,282.00","$2,332",,,,,,,,,,,,,,,,,,,,,,,
01/16/2019,Duke Conservation Tech,"$10,007.50","$10,007.50",,,,,,,,,,,,,,,,,,,,,,,
01/16/2019,DukeASL,"$2,000","$2,000",,,,,,,,,,,,,,,,,,,,,,,
01/16/2019,TEDxDuke,"$12,685","$9,625",,,,,,,,,,,,,,,,,,,,,,,
01/23/2019,Singapore Students Association,"$8,995.00","$4,950",,,,,,,,,,,,,,,,,,,,,,,
01/23/2019,Sabrosura,"$2,850","$2,850",,,,,,,,,,,,,,,,,,,,,,,
01/23/2019,Neurocare,"$7,557.78","$7,133.93",,,,,,,,,,,,,,,,,,,,,,,
01/23/2019,J Street U,"$10,900","$3,275",,,,,,,,,,,,,,,,,,,,,,,
01/23/2019,Duke Catholic Center ,"$1,740","$1,710",,,,,,,,,,,,,,,,,,,,,,,
01/30/2019,Inside Joke,"$2,193.63","$2,193.63",,,,,,,,,,,,,,,,,,,,,,,
01/30/2019,Duke Amandla Chorus ,"$4,278","$2,103",,,,,,,,,,,,,,,,,,,,,,,
01/30/2019,All of the Above ,"$2,734.50","$2,534.50",,,,,,,,,,,,,,,,,,,,,,,
02/06/2019,Muslim Students' Association ,"$6,000","$6,000",,,,,,,,,,,,,,,,,,,,,,,
02/06/2019,Muslim Students' Association ,"$1,650","$1,650",,,,,,,,,,,,,,,,,,,,,,,
02/06/2019,Duke Africa ,"$8,450","$4,950",,,,,,,,,,,,,,,,,,,,,,,
02/13/2019,Pi Kappa Alpha ,"$2,651.74","$1,851.74",,,,,,,,,,,,,,,,,,,,,,,
02/13/2019,La Unidad Latina,"$2,800","$2,265",,,,,,,,,,,,,,,,,,,,,,,
02/13/2019,Duke Undergraduate Machine Learning,"$3,000","$3,700",,,,,,,,,,,,,,,,,,,,,,,
02/13/2019,Devils en Pointe,"$4,397.50","$4,397.50",,,,,,,,,,,,,,,,,,,,,,,
02/13/2019,Duke Catholic Center ,"$1,740","$1,710",,,,,,,,,,,,,,,,,,,,,,,
02/13/2019,Duke Catholic Center ,"$6,430","$6,430",,,,,,,,,,,,,,,,,,,,,,,
02/13/2019,Coalition for Preserving Memory,"$1,910.45","$1,735.45",,,,,,,,,,,,,,,,,,,,,,,
02/13/2019,Blue Devils United ,"$5,450","$5,400",,,,,,,,,,,,,,,,,,,,,,,
02/27/2019,International Association ,"$13,350","$4,800",,,,,,,,,,,,,,,,,,,,,,,
02/27/2019,Duke Splash ,"$2,604","$2,359",,,,,,,,,,,,,,,,,,,,,,,
02/27/2019,Duke East Asia Nexus,"$15,985","$6,040",,,,,,,,,,,,,,,,,,,,,,,
02/27/2019,Duke Chinese Dance ,"$4,266.50","$4,266.50",,,,,,,,,,,,,,,,,,,,,,,
02/27/2019,Community Empowerment Fund,"$3,922","$2,000",,,,,,,,,,,,,,,,,,,,,,,
03/06/2019,Program II Majors' Union,"$5,400",$0,,,,,,,,,,,,,,,,,,,,,,,
03/06/2019,Program II Majors' Union,"$5,400","$5,200",,,,,,,,,,,,,,,,,,,,,,,
03/06/2019,Duke Diya,"$2,900","$2,900",,,,,,,,,,,,,,,,,,,,,,,
03/06/2019,Blue Devils United ,"$8,800","$3,300",,,,,,,,,,,,,,,,,,,,,,,
03/06/2019,Asian Students Association,"$3,550","$3,300",,,,,,,,,,,,,,,,,,,,,,,
03/20/2019,Asian American Alliance ,"$5,000","$5,000",,,,,,,,,,,,,,,,,,,,,,,
03/20/2019,Blue Devils United ,"$9,300","$9,300",,,,,,,,,,,,,,,,,,,,,,,
03/20/2019,Duke Chinese Theater,"$10,797.50","$6,172.50",,,,,,,,,,,,,,,,,,,,,,,
03/20/2019,On Tap,"$2,220.81","$2,020.81",,,,,,,,,,,,,,,,,,,,,,,
03/27/2019,duARTS,"$1,000",$0,,,,,,,,,,,,,,,,,,,,,,,
03/27/2019,Duke Student Government,"$3,350",$0,,,,,,,,,,,,,,,,,,,,,,,
03/27/2019,Momentum Dance Company ,"$3,037.63","$2,837.63",,,,,,,,,,,,,,,,,,,,,,,
03/27/2019,Street Medicine ,"$4,366.63","$4,316.63",,,,,,,,,,,,,,,,,,,,,,,
03/27/2019,Natuve American Student Organization,"$2,900","$1,875.00",,,,,,,,,,,,,,,,,,,,,,,
04/03/2019,HackDuke,"$2,260.00","$1,630",,,,,,,,,,,,,,,,,,,,,,,
04/03/2019,DUSDAC,"$8,201","$1,801",,,,,,,,,,,,,,,,,,,,,,,
04/10/2019,Muslim Students' Association ,"$4,000","$4,000",,,,,,,,,,,,,,,,,,,,,,,
04/10/2019,Duke University Student Dining Advisory Committee,"$8,201","$2,601",,,,,,,,,,,,,,,,,,,,,,,
04/17/2019,Duke University Improv,"$1,597.06","$1,597.06",,,,,,,,,,,,,,,,,,,,,,,