dateOfSenateMeeting,orgName,totalRequested,totalGranted
09/05/2018,Interfraternity Council,"$8,500.00","$8,500.00"
09/05/2018,Muslim Students' Association ,"$2,295.00","$2,295.00"
09/05/2018,Peer Advocacy for Sexual Health (PASH),"$2,500.00","$2,300.00"
09/05/2018,"SSA (Main account/ organizer), ASA, CSA, KUSA, TASA, Fusion SLG, LangDom SLG, aKDPhi, Lambda Epsilon Phi, Duke Chinese Dance, Duke Temptasians, Duke Asian American Theatre, Duke Department of Asian and Middle Eastern Studies","$11,685.00","$5,270.00"
09/05/2018,Zeta Tau Alpha,"$7,500.00","$7,500.00"
09/19/2018,Duke Chinese Student Association,"$10,261.00","$5,561.00"
09/19/2018,Duke Undergraduate Machine Learning,"$4,425.00","$2,500.00"
09/26/2018,J Street U,"$3,050.00","$2,700.00"
10/03/2018,"Zeta Phi Beta Sorority, Inc ","$1,522.61","$1,522.61"
10/03/2018,TEDXDuke,"$3,985.00","$3,695.00"
10/03/2018,"Phi Beta Sigma Fraternity, Inc.","$2,030.00","$1,730.00"
10/03/2018,Duke Students for Justice in Palestine,"$1,650.00","$1,575.00"
10/03/2018,HackDuke,"$8,900.00","$6,750.00"
10/17/2018,Inside Joke,"$2,057.06","$2,057.06"
10/17/2018,Blue Devils United ,"$7,450.00","$7,450.00"
10/17/2018,Duke Africa ,"$4,326.67","$3,872.33"
10/17/2018,Duke MSA,"$4,600.00","$2,600.00"
10/24/2018,alpha Kappa Delta Phi,"$14,000.00","$12,000.00"
10/24/2018,FEMMES,"$2,500.00",$800.00
10/31/2018,Duke Club Figure Skating,"$3,765.00","$3,765.00"
10/31/2018,Duke University Science Olympiad,"$6,359.00","$1,590.00"
10/31/2018,Hindu Students Association ,"$3,800.00","$3,800.00"
10/31/2018,International Assocation ,"$7,160.00","$5,184.00"
11/07/2018,Duke Chinese Theater,"$10,798.00","$6,173.00"
11/14/2018,alpha Kappa Delta Phi,"$14,000.00","$2,000.00"
11/14/2018,Asian Students Association,"$3,400.00","$2,800.00"
11/14/2018,Duke Catholic Center ,"$1,760.00","$1,710.00"
11/14/2018,Duke Conservation Tech,"$12,437.50","$8,287.50"
11/28/2018,Blue Devils United ,"$7,689.90","$7,689.00"
11/28/2018,Coalition for Preserving Memory,"$1,850.00","$1,850.00"
01/16/2019,Asian Students Association,"$6,800.00","$5,175.00"
01/16/2019,"Delta Sigma Theta Sorority, Incorporated","$16,089.20","$16,089.20"
01/16/2019,duARTS,"$4,282.00","$2,332.00"
01/16/2019,Duke Conservation Tech,"$10,007.50","$10,007.50"
01/16/2019,DukeASL,"$2,000.00","$2,000.00"
01/16/2019,TedXDuke,"$12,685.00","$9,625.00"
01/23/2019,Singapore Students Association,"$8,995.00","$4,950.00"
01/23/2019,Sabrosura,"$2,850.00","$2,850.00"
01/23/2019,Neurocare,"$7,557.78","$7,133.93"
01/23/2019,JSU,"$10,900.00","$3,275.00"
01/23/2019,Duke Catholic Center ,"$1,740.00","$1,710.00"
01/30/2019,Inside Joke,"$2,193.63","$2,193.63"
01/30/2019,Duke Amandla Chorus ,"$4,278.00","$2,103.00"
01/30/2019,All of the Above ,"$2,734.50","$2,534.50"
02/06/2019,Duke MSA,"$6,000.00","$6,000.00"
02/06/2019,Muslim Students' Association ,"$1,650.00","$1,650.00"
02/06/2019,Duke Africa ,"$8,450.00","$4,950.00"
02/13/2019,Pi Kappa Alpha ,"$2,651.74","$1,851.74"
02/13/2019,"La Unidad Latina, Lambda Upsilon Lambda Fraternity, Inc.","$2,800.00","$2,265.00"
02/13/2019,Duke Undergraduate Machine Learning,"$3,000.00","$3,700.00"
02/13/2019,Devils en Pointe,"$4,397.50","$4,397.50"
02/13/2019,Duke Catholic Center ,"$1,740.00","$1,710.00"
02/13/2019,Duke Catholic Center ,"$6,430.00","$6,430.00"
02/13/2019,Coalition for Preserving Memory,"$1,910.45","$1,735.45"
02/13/2019,BDU,"$5,450.00","$5,400.00"
02/27/2019,International Association (IA),"$13,350.00","$4,800.00"
02/27/2019,Duke Splash ,"$2,604.00","$2,359.00"
02/27/2019,Duke East Asia Nexus,"$15,985.00","$6,040.00"
02/27/2019,Duke Chinese Dance ,"$4,266.50","$4,266.50"
02/27/2019,Community Empowerment Fund,"$3,922.00","$2,000.00"
03/06/2019,Program II Majors' Union,"$5,400.00",$0.00
03/06/2019,Program II Majors' Union,"$5,400.00","$5,200.00"
03/06/2019,Duke Diya,"$2,900.00","$2,900.00"
03/06/2019,BDU,"$8,800.00","$3,300.00"
03/06/2019,Asian Students Association,"$3,550.00","$3,300.00"
03/20/2019,Asian American Alliance ,"$5,000.00","$5,000.00"
03/20/2019,Blue Devils United ,"$9,300.00","$9,300.00"
03/20/2019,Duke Chinese Theater,"$10,797.50","$6,172.50"
03/20/2019,On Tap,"$2,220.81","$2,020.81"
03/27/2019,duARTS,"$1,000.00",$0.00
03/27/2019,Duke Student Government,"$3,350.00",$0.00
03/27/2019,Momentum Dance Company ,"$3,037.63","$2,837.63"
03/27/2019,Street Medicine ,"$4,366.63","$4,316.63"
03/27/2019,Native American Student Organization,"$2,900.00","$1,875.00"
04/03/2019,HackDuke,"$2,260.00","$1,630.00"
04/03/2019,DUSDAC,"$8,201.00","$1,801.00"
04/10/2019,Duke MSA,"$4,000.00","$4,000.00"
04/10/2019,DUSDAC,"$8,201.00","$2,601.00"
04/17/2019,Duke University Improv,"$1,597.06","$1,597.06"