org,req,grant,removed_items,total_removed,req_filt,FLAGGED NOTES,X8,deny,prop_grant,prop_grant_filt
Asian American Alliance,3021,1400,"""Two hotel rooms for two nights at $149 each night"" -- SOFC funds hotels at 125/person. 125 x 2 = 250. 590 - 250 =  minus 346

""Catering for GBM"" -- minus 600",946,2075,NA,NA,1621,0.4634227077126779,0.6746987951807228
Adopt a Grandparent,528,433,"""Polaroids"" -- giveaway, minus 95",95,433,NA,NA,95,0.8200757575757576,1
"Alpha Kappa Alpha Sorority, Inc.",14073,5580,"""Boule Air Travel"" -- SOFC funds flights at 200/person. 200 x 6 = 1200, so 1350 - 1200 = minus 150

""New Member Presentation costumes"" -- closed group event, minus 975",1125,12948,NA,NA,8493,0.3965039437220209,0.4309545875810936
"Alpha Phi Alpha Fraternity, Inc.",6825,2070,NA,0,6825,NA,NA,4755,0.3032967032967033,0.3032967032967033
Duke Amandla Chorus,5900,500,"""flyers, posters, programs, stickers, shirts"" -- SOFC does not fund giveaways, minus 800",800,5100,NA,NA,5400,0.0847457627118644,0.09803921568627451
Amnesty International,625,250,"""pizza for GBM"" -- minus 50",50,575,NA,NA,375,0.4,0.43478260869565216
Duke Chapter of the American Mock World Health Organization.,4960,2430,"""GBM"" -- minus 100",100,4860,NA,NA,2530,0.4899193548387097,0.5
"Alpha Pi Omega Sorority, Inc",1460,380,"""New member apparel"" -- minus 300
",300,1160,NA,NA,1080,0.2602739726027397,0.3275862068965517
Duke Archery Club,5500,1820,"""Merchandise"" -- minus 300",300,5200,NA,NA,3680,0.33090909090909093,0.35
The Archive Literary Magazine,6000,4450,NA,0,6000,NA,NA,1550,0.7416666666666667,0.7416666666666667
Asian Students Association,2650,1370,"""2 GBMs"" -- minus 600",600,2050,NA,NA,1280,0.5169811320754717,0.6682926829268293
Audacity Labs,609.74,406,"""GBM"" -- minus 125",125,484.74,NA,NA,203.74,0.6658575786400761,0.8375624045880266
Blue Devils United,7635,5540,"""Organization T-Shirts"" -- minus 150",150,7485,NA,NA,2095,0.7256057629338573,0.7401469605878424
Duke Best Buddies,1250,950,"""Speaker with microphone"" -- for GBM, so minus 200",200,1050,NA,NA,300,0.76,0.9047619047619048
Black Student Alliance,17630,430,"""Thanksgiving celebration"" -- closed event, minus 1600

""Banners, stickers, flyers, phone pockets"" -- SOFC does not fund giveaways, minus 600

""Invitational for black prospective students hosted by BSAI every year"" -- closed event, minus 15000",17200,430,"Does the ""invitational for black prospective students"" count as an open event? I assumed not",NA,17200,0.024390243902439025,1
Community Empowerment Fund,2200,1250,NA,0,2200,NA,NA,950,0.5681818181818182,0.5681818181818182
CHANCE Tutoring,500,500,NA,0,500,NA,NA,0,1,1
Duke Club Fishing,1383.31,563.33,"""Food for regular outing trips"" -- closed event, minus 200",200,1183.31,NA,NA,819.9799999999999,0.40723337502078355,0.4760629082826986
Duke CommuniTEA,2240,1370,NA,0,2240,NA,NA,870,0.6116071428571429,0.6116071428571429
Duke University Cricket Club,1655,1155,"""Jerseys"" -- minus 500",500,1155,Do jerseys count as merch?,NA,500,0.6978851963746223,1
Duke Crux,7840,2900,NA,0,7840,NA,NA,4940,0.36989795918367346,0.36989795918367346
Duke Cubing Club,1000,650,"""Food for GBM"" -- minus 80",80,920,NA,NA,350,0.65,0.7065217391304348
Duke Association of Debate Coaches,2500,2500,NA,0,2500,NA,NA,0,1,1
Duke Association for the Middle East,6180,3350,"""Marketing materials"" -- includes stickers, minus 200

""Shirts"" -- minus 130",330,5850,NA,NA,2830,0.5420711974110033,0.5726495726495726
Duke Dance Council,12060,10660,"""Printing Programs for FallCase and Spring Showcase"" -- programming-related marketing material, minus 1200",1200,10860,NA,NA,1400,0.8839137645107794,0.9815837937384899
Duke Dance Expressions,1720,1320,NA,0,1720,NA,NA,400,0.7674418604651163,0.7674418604651163
Duke Chinese Theater,3300,1000,NA,0,3300,NA,NA,2300,0.30303030303030304,0.30303030303030304
Duke Disability Alliance,7650,3000,"SOFC doesn't fund t-shirts, minus 600",600,7050,SOFC doesn't fund decorations but they gave money for them to decorate their new space at the Bryan Center so I didn't subtract it,NA,4650,0.39215686274509803,0.425531914893617
Define American,1000,800,NA,0,1000,NA,NA,200,0.8,0.8
Deja Blue,2250,1150,"SOFC doesn't fund t-shirts, minus 500.00",500,1750,NA,NA,1100,0.5111111111111111,0.6571428571428571
"Delta Sigma Theta, Inc.",6100,1800,"""travel to Natianal convention"" wrong request: flights are $200/person, not $400, subtract $400. ""Hotel stay for national convention"" wrong request: hotels are funded at $125/person, not $250. subtract $250. ""hotel stay for regional conference"" wrong request: hotels are $125/person, not $150, subtract $50.",700,5400,NA,NA,4300,0.29508196721311475,0.3333333333333333
Desarrolla,2884,450,"""Exec retreat"" retreats are $20/person, not $90, subtract $700.00",700,2084,NA,NA,2434,0.15603328710124825,0.21593090211132437
Duke Ethiopian/Eritrean Student Transnational Association,345,195,"""GBM"" duke doesn't fund general body meetings, subtract $150",150,195,NA,NA,150,0.5652173913043478,1
Duke's Devilish Keys,1498,1348,NA,0,1498,NA,NA,150,0.8998664886515354,0.8998664886515354
Devils En Pointe,6182,2715,"""Storage Unit for Costumes"" -- SOFC doesn't fund long term, non disposable capital expenditures",NA,NA,NA,NA,3467,0.43917825946295697,NA
Duke Dhamaka,35059,8575,"""Hotel""-- hotels are 125/person, not $200, subtract $5625.00.",5625,29434,NA,NA,26484,0.24458769502838074,0.2913297547054427
DHRC,1040,390,NA,0,1040,SOFC Doesn't fund GBMs but they did fund part of this one so I didn't subtract it... not sure if that was right though?,NA,650,0.375,0.375
International Association,700,400,NA,0,700,NA,NA,300,0.5714285714285714,0.5714285714285714
Duke Diya,900,500,"""Exec Retreat""-- retreats are funded at $20/person, not $55.56, subtract $320.",320,580,NA,NA,400,0.5555555555555556,0.8620689655172413
Duke Partnership for Service,14560,2880,NA,0,14560,NA,NA,11680,0.1978021978021978,0.1978021978021978
Duke Student Government,36700,33125,NA,0,36700,NA,NA,3575,0.9025885558583107,0.9025885558583107
Duke Symphony Orchestra,4825,2800,"""Sticker Mule stickers"" --  SOFC doesn't fund stickers, subtract $150.00",150,4675,NA,NA,2025,0.5803108808290155,0.5989304812834224
duARTS,13650,2900,"""Merchandise""-- SOFC doesn't fund merch, subtract  $1500.00.  ""Food budget for GBMs""-- SOFC doesn't fund GBMs, subtract $2000.",3500,10150,NA,NA,10750,0.21245421245421245,0.2857142857142857
Duke Applied Machine Learning Group,1600,1000,"""GBM food""-- SOFC doesn't fund GBMs, subtract $300.",300,1300,NA,NA,600,0.625,0.7692307692307693
Duke Investment Club,6462.88,3083,"""Spring and Fall Retreats""-- SOFC funds $20/person/retreat, subtract $100.",100,6342.88,NA,NA,3379.88,0.4770319114698091,0.48605680700249726
Duke Sleight Club,684.16,665.26,NA,0,684.16,NA,NA,18.899999999999977,0.9723748830682881,0.9723748830682881
Duke Sports Management Club,2600,2075,NA,0,2600,NA,NA,525,0.7980769230769231,0.7980769230769231
Duke PAWS,3850,2500,"""Merchandise""-- SOFC doesn't fund merch, subtract $450.",450,3400,NA,NA,1350,0.6493506493506493,0.7352941176470589
EEAD,350,100,"""Food funding""-- SOFC doesn't fund meetings, subtract 250",250,100,NA,NA,250,0.2857142857142857,1
Duke University Emergency Medical Services,12310.01,6393,"retreats are funded at $20/person, subtract 4700.",4700,7610.01,NA,NA,5917.01,0.5193334530191284,0.8400777397138768
Every Nation Campus,6600,2500,"""Annual Fall Retreat""-- SOFC funds retreats at $20/person, subtract $1000. ""End of Year Retreat""-- SOFC funds $20/person, subtract $825",825,5775,NA,NA,4100,0.3787878787878788,0.4329004329004329
Duke Energy Club,9180,1500,NA,0,9180,NA,NA,7680,0.16339869281045752,0.16339869281045752
Ensemble Hippocrates,1125,400,"""General Body Meeting""-- SOFC doesn't fund GBMs, subtract $200.",200,925,NA,NA,725,0.35555555555555557,0.43243243243243246
Environmental Alliance,1700,450,NA,0,1700,"""Speaker Panel"": unsure about whether the speakers specifically requested compensation. Guidlines say that Student groups are not allowed to offer outside speakers compensation.",NA,1250,0.2647058823529412,0.2647058823529412
Engineering World Health,5050,2500,"""Travel for volunteer work"": hotel cost is $125/person and flight cost is $200/person, minus $1050",1050,4000,NA,NA,2550,0.49504950495049505,0.625
Duke Fashion Exchange,405,230,NA,0,405,NA,NA,175,0.5679012345679012,0.5679012345679012
FIRST at Duke,3090,2940,"""Hotel Rooms for Championships"": minus $750",750,2340,NA,NA,150,0.9514563106796117,1.2564102564102564
Flower Power,1000,700,"""Name stickers"": SOFC is not allowed to fund stickers, minus 100",100,900,NA,NA,300,0.7,0.7777777777777778
FORM Magazine,7906,6476,NA,0,7906,NA,NA,1430,0.8191247154060207,0.8191247154060207
Freshly Squeezed Pulp,9768,1360,NA,0,9768,"""Guest Star funds"": unsure about whether the guest stars specifically requested compensation.",NA,8408,0.13923013923013924,0.13923013923013924
Future is Now,718,118,NA,0,718,the name of the organization wasn't provided so I just used the title of sheet,NA,600,0.16434540389972144,0.16434540389972144
Gente Aprendiendo para Nuevas Oportunidades,560,560,NA,0,560,NA,NA,0,1,1
The Gatekeepers,11820,4200,NA,0,11820,"I was unsure about whether SOFC could fund tent, stage, and backdrop rentals",NA,7620,0.3553299492385787,0.3553299492385787
Duke German Club,900,450,NA,0,900,NA,NA,450,0.5,0.5
Duke Student Global Health Review,215,215,NA,0,215,NA,NA,0,1,1
Harmonies for Health,880,375,NA,0,880,NA,NA,505,0.42613636363636365,0.42613636363636365
Duke History Union,2550,1800,NA,0,2550,NA,NA,750,0.7058823529411765,0.7058823529411765
Hoof 'n' Horn,13978,4100,NA,0,13978,NA,NA,9878,0.293318071254829,0.293318071254829
Hindu Students Association,5557.98,3776.54,"""Stringed/decorative lights"", ""rug"", ""artificial thoran"", ""namaste wall decal"": sofc not allowed to fund decorations, minus 541.95.",541.95,5016.03,"there were a couple of items that I wasn't sure if they could be classified as ""decoration""",NA,1781.4399999999996,0.67948067463359,0.7528942211270666
Asian InterVarsity Christian Fellowship,15425,4620,"""nametags"": sofc not allowed to fund any stickers or giveaways, minus 40. New Student Retreat and Fall Retreat: sofc can only fund 20/person, minus 6390",6430,8995,NA,NA,10805,0.29951377633711507,0.5136186770428015
"Kappa Alpha Psi Fraternity, Inc.",15205,3600,"""Alumni weekend GBM"" and ""Charter week GBM"": sofc cannot fund gbms, minus 3000.",3000,12205,NA,NA,11605,0.2367642222952976,0.2949610815239656
Duke Low-Income First-Generation Engagement (Duke LIFE),490,490,NA,0,490,NA,NA,0,1,1
"Lambda Theta Alpha Latin Sorority, Inc.",5124,1105,"""Large Standing Wooden Greek Letters"": sofc cannot fund decorations, minus 380",380,4744,NA,NA,4019,0.2156518345042935,0.23292580101180438
"La Unidad Latina Lambda Upsilon Lambda Fraternity, Inc.",2400,1080,NA,0,2400,NA,NA,1320,0.45,0.45
Mi Gente,4000,2100,"""Fall and Spring GBMs"": sofc is not allowed to fund gbms, minus 750. ""Mi Gente Stickers"": sofc not allowed to fund stickers, minus 150.",900,3100,NA,NA,1900,0.525,0.6774193548387096
Duke Mock Trial (DMT),28273,15050,"""Flights to and from San Fransisco"": minus 3000. ""AMTA Hotel"": minus 5625",8625,19648,NA,NA,13223,0.5323099777172567,0.7659812703583062
Momentum Dance Company,1550,1000,NA,0,1550,NA,NA,550,0.6451612903225806,0.6451612903225806
Duke Muslim Students Association,12000,1000,"""Fall Retreat"": minus 2400. ""Spring Retreat"": minus 2000. ""Merchandise"": sofc not allowed to fund merch, minus 1000",5400,6600,NA,NA,11000,0.08333333333333333,0.15151515151515152
Nakisai African Dance Ensemble,2050,1400,NA,0,2050,NA,NA,650,0.6829268292682927,0.6829268292682927
Duke Nepali Student Association,1000,700,NA,0,1000,NA,NA,300,0.7,0.7
"Zeta Phi Beta Sorority, Inc.",9872,2700,-200 (does not fund GBMs); -200 (retreats funded at 20/capita max);,400,9472,"should we remove state and regional dues (175+397) since rules say ""national dues""",NA,7172,0.27350081037277146,0.28505067567567566
WISER Duke,600,400,NA,600,0,should we remove WISER conference bc for local non-Duke undergraduate girls??,NA,200,0.6666666666666666,Inf
United in Praise,4600,100,-2000 (payments to musicians),0,4600,NA,NA,4500,0.021739130434782608,0.021739130434782608
The Muse Magazine,1000,1000,NA,1000,0,NA,NA,0,1,Inf
The Bridge,1620,550,"-600 (GBMs), -60 (stickers), -60 (business cards)",720,900,NA,NA,1070,0.3395061728395062,0.6111111111111112
Taiwanese American Student Association,1720,1140,-180 (GBM),180,1540,NA,NA,580,0.6627906976744186,0.7402597402597403
Duke Swing Dance,1850,1200,NA,0,1850,NA,NA,650,0.6486486486486487,0.6486486486486487
Street Medicine,4500,1800,NA,0,4500,Dance Workshop Teacher Fees?? also filming and editing fees?,NA,2700,0.4,0.4
Duke Speech Team,24900,6840,-(600+1500+2300+700+3100) (only $200/capita for flights),8200,16700,-(300+150+400+300+600) (food $ on travel)???,NA,18060,0.2746987951807229,0.4095808383233533
Society of Women Engineers,7125,1815,NA,0,7125,NA,NA,5310,0.25473684210526315,0.25473684210526315
Duke Students for Justice in Palestine,2600,1200,"-100 (20/capita for retreats), -300 (stickers and merch)",400,2200,NA,NA,1400,0.46153846153846156,0.5454545454545454
Duke Sikh Society,1000,150,-200 (to hire someone else),200,800,Request is so vague i dont understand how to categorize most of it,NA,850,0.15,0.1875
Roteract Club of Duke University,4748,825,NA,0,4748,NA,NA,3923,0.17375737152485257,0.17375737152485257
Duke Robotics Club,44784,10234,-4000 (over 200/capita on flights); -8125 (over 125/capita on hotels),12125,32659,"-3000 (food at competition), -2000 (food over year)",NA,34550,0.22851911396927474,0.31335925778499035
Duke Rhydhun,20105,12020,-4500 (over 200/capita on travel); -910 (over 125/capita on lodging),5410,14695,NA,NA,8085,0.5978612285501119,0.8179652943177952
Duke Quiz Bowl,6975,3430,-5 (hotel over 125,5,6970,-150 (breakfast);,NA,3545,0.4917562724014337,0.4921090387374462
Pureun,3400,1900,NA,0,3400,NA,NA,1500,0.5588235294117647,0.5588235294117647
Pakistani Students Association,7070,1450,-700 (GBM),700,6370,NA,NA,5620,0.2050919377652051,0.22762951334379905
Project H.E.A.L. (Health Education and Awareness in Latin America),2190,1140,-150 (GBM);,NA,2190,Spring retreat (600) is hosted by students for community members?? include??,NA,1050,0.5205479452054794,0.5205479452054794
Progress. Period.,700,500,-50 (GBM),50,650,NA,NA,200,0.7142857142857143,0.7692307692307693
Duke Global Public Health Brigades,NA,NA,-11825 (over 200 +125 for travel and hotel); -250 (tshirts),NA,0,Charla: Public Health Education on Brigade (75) ?? includes supplies for community event,NA,NA,NA,NA
Peer For You,703,300,NA,0,703,all of this is food for tabling or meetings?? so none should count idk??,-(300 +300+103) food for various things -- catering for training and donuts and locopops for tabling,403,0.4267425320056899,0.4267425320056899
Presbyterian Campus Ministry,3200,1750,NA,0,3200,is there a limit on mileage reimbursements or $$ spent on non-plane travel,NA,1450,0.546875,0.546875
Peer Advocacy for Sexual Health,5088.09,530,-400 (stickers and hoodies),400,4688.09,"3500 on guest speakers' travel (we don't know whether they requested compensation or not, groups are not allowed to offer)",-858.09 (food at weekly meetings),4558.09,0.10416482412850402,0.11305243713324616
National Society of Black Engineers,5600,3000,-1000 (over 200/capita for plane tix); -600 (GBM),1600,4000,NA,NA,2600,0.5357142857142857,0.75
Neurocare,450,125,NA,0,450,food for events???,-125 (food for events),325,0.2777777777777778,0.2777777777777778
